,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,seller_zip_code_prefix,seller_city,seller_state,trimestre,quarter,year
0,0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,delivered,2018-07-02 13:59:39,2018-07-02 14:10:56,2018-07-03 14:25:00,2018-07-04 17:28:31,2018-07-23 00:00:00,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-07-06 14:10:56,53.99,11.4,livros_tecnicos,52.0,1192.0,1.0,850.0,29.0,3.0,21.0,5c0b7e34ed85ec659bb064902d878e7a,4.0,,,2018-07-05 00:00:00,2018-07-05 23:17:04,0782c41380992a5a533489063df0eef6,6636,jandira,SP,2274,sao paulo,SP,2018Q3,3 tri,2018
1,40ef667b4259d5f521a0fd1a093d0415,bb8bd97c39739129411746c4ca7c754f,delivered,2018-07-11 19:25:07,2018-07-12 04:06:09,2018-07-12 15:04:00,2018-07-13 17:45:33,2018-07-20 00:00:00,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-07-17 04:06:09,53.99,9.13,livros_tecnicos,52.0,1192.0,1.0,850.0,29.0,3.0,21.0,36e6365afe243a6f81851adae71156ed,4.0,,,2018-07-14 00:00:00,2018-07-14 22:04:51,990302c82284e848fd5985e4f0c917ad,7114,guarulhos,SP,2274,sao paulo,SP,2018Q3,3 tri,2018
2,4cdbb26aa0dc8e7179f33edf59722fa8,07de064ec1b736d53124c6275c05fee3,delivered,2018-07-03 19:29:11,2018-07-05 16:32:16,2018-07-04 14:52:00,2018-07-05 18:21:48,2018-07-20 00:00:00,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-07-09 20:31:51,53.99,9.13,livros_tecnicos,52.0,1192.0,1.0,850.0,29.0,3.0,21.0,771723772ead0bf3fc9bfd47d46006b2,5.0,,,2018-07-06 00:00:00,2018-07-06 22:31:33,bd723d073dbd7a197adadb1049a08a71,2712,sao paulo,SP,2274,sao paulo,SP,2018Q3,3 tri,2018
3,ef18f5dcc7b8a44cbdb1a14de4164bd1,4f3505c2d2b2547a60e333a7eaac6cba,shipped,2018-07-04 10:52:38,2018-07-05 16:32:54,2018-07-04 14:18:00,,2018-07-20 00:00:00,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-07-10 11:31:24,53.99,9.13,livros_tecnicos,52.0,1192.0,1.0,850.0,29.0,3.0,21.0,,,,,,,d3f537919bf27b4cf6157616b00a0ba4,7063,guarulhos,SP,2274,sao paulo,SP,2018Q3,3 tri,2018
4,0025081dcf9330f9a5052ae82c6ce396,7e6fefa11d6a2c832593264f69df9de3,delivered,2018-03-27 16:25:35,2018-03-27 16:35:20,2018-03-28 17:58:37,2018-04-05 23:48:37,2018-04-17 00:00:00,1,4e3f399366b0047a572b6682f9bb166e,5f3ae9136c875522250f8184f253413a,2018-04-02 16:35:20,14.95,18.23,livros_tecnicos,28.0,1313.0,1.0,300.0,23.0,2.0,16.0,13de33fd67cb2f1a941f7a0cd217d577,5.0,,,2018-04-06 00:00:00,2018-04-07 11:41:49,d4c0c343658dec14b2197594314c2cc3,35064,governador valadares,MG,1550,sao paulo,SP,2018Q1,1 tri,2018
5,2326391ae5a49ca43aec4e487b6a2d38,aba5afb5ab39f4d5719cba15a070d5e7,shipped,2018-05-15 18:06:09,2018-05-15 18:34:39,2018-05-17 12:33:00,,2018-06-05 00:00:00,1,4e3f399366b0047a572b6682f9bb166e,5f3ae9136c875522250f8184f253413a,2018-05-17 18:30:41,14.95,19.04,livros_tecnicos,28.0,1313.0,1.0,300.0,23.0,2.0,16.0,,,,,,,35389b797b4050a150a371bfc675dd83,60191,fortaleza,CE,1550,sao paulo,SP,2018Q2,2 tri,2018
6,37bb906305fed075bde1eac3f0023938,8a41c7f9953f6de004c96265762ac7e0,delivered,2018-04-17 16:11:55,2018-04-18 16:18:48,2018-04-20 14:20:54,2018-04-25 22:09:49,2018-05-11 00:00:00,1,4e3f399366b0047a572b6682f9bb166e,5f3ae9136c875522250f8184f253413a,2018-04-24 16:18:48,14.95,15.23,livros_tecnicos,28.0,1313.0,1.0,300.0,23.0,2.0,16.0,2135c31201f4297e216d49279897a65b,5.0,,,2018-04-26 00:00:00,2018-04-30 14:33:02,d6f1854360dbd9b2580f2f4195baf7d8,71936,brasilia,DF,1550,sao paulo,SP,2018Q2,2 tri,2018
7,7ed980a67023306cce5ada7078003bc6,957e79d34a00288f566fe7b082516945,delivered,2018-08-09 10:47:50,2018-08-10 08:05:19,2018-08-10 14:20:00,2018-08-13 12:16:50,2018-08-14 00:00:00,1,4e3f399366b0047a572b6682f9bb166e,5f3ae9136c875522250f8184f253413a,2018-08-14 08:05:19,14.95,7.39,livros_tecnicos,28.0,1313.0,1.0,300.0,23.0,2.0,16.0,a27e5cd16d547048884b2f2ae0dd740e,5.0,,,2018-08-14 00:00:00,2018-08-16 15:43:08,3567cb0ffdc5163858a98f5bdf45e58c,4543,sao paulo,SP,1550,sao paulo,SP,2018Q3,3 tri,2018
8,00f8fc0cb9d9b7813f1f54fbd75426f1,5fabfab95333c3c3641f4cd20f86a56e,delivered,2018-01-22 10:45:15,2018-01-22 14:16:52,2018-01-23 22:19:43,2018-02-02 01:02:38,2018-02-14 00:00:00,1,9fb9a39f2e393018aaeb432394aff48f,c03121937e54a93fcc1825c3098bbb6e,2018-01-26 14:16:49,149.0,14.77,livros_interesse_geral,34.0,1151.0,9.0,1950.0,36.0,5.0,23.0,c84fd86b1e3ca4e8bcd4335f5e974160,5.0,,O produto chegou antes do prazo previsto.,2018-02-02 00:00:00,2018-02-04 00:12:44,07e49dd22f4f6af000d9a912d0e822c3,84570,mallet,PR,82800,curitiba,PR,2018Q1,1 tri,2018
9,6687e41328c2c088bbef1bf4967d14db,d3208c1be815d769d22cb30ce5c334c0,delivered,2018-05-03 20:52:38,2018-05-03 21:11:24,2018-05-07 15:05:00,2018-05-15 21:32:45,2018-05-30 00:00:00,1,9fb9a39f2e393018aaeb432394aff48f,c03121937e54a93fcc1825c3098bbb6e,2018-05-09 21:11:24,149.0,19.31,livros_interesse_geral,34.0,1151.0,9.0,1950.0,36.0,5.0,23.0,d05d745be88f1d9259a43b39999531fd,5.0,,,2018-05-16 00:00:00,2018-06-30 15:17:19,43e428f69b7e387495a579c745e845b1,75391,trindade,GO,82800,curitiba,PR,2018Q2,2 tri,2018
